                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9583,                 3.3753,                 1.8742,                0.45052,                0.35099,                0.30552,                0.09625,                  2.412,                 2.2433,                 1.5462,              0.0033146,              0.0033146,              0.0033146
                      1,                  2.584,                 2.2785,                 1.5344,                0.50709,                0.49669,                0.45278,                0.15208,                 2.1638,                 1.7224,                 1.3406,              0.0066348,              0.0066348,              0.0066348
                      2,                 2.5697,                 2.0912,                 1.4846,                0.39735,                0.36824,                0.29232,                0.09962,                 2.4806,                 2.1148,                  1.601,              0.0099417,              0.0099417,              0.0099417
                      3,                 2.5903,                  2.039,                 1.5137,                0.59489,                0.44592,                0.46428,                0.16684,                 2.2745,                 1.6573,                 1.3769,              0.0099406,              0.0099406,              0.0099406
                      4,                 2.5825,                 1.9471,                  1.519,                0.53897,                 0.4826,                0.46705,                0.15934,                 2.2233,                  1.536,                 1.3676,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.5568,                  1.877,                 1.5041,                0.54088,                0.46799,                0.49015,                0.17241,                 2.1886,                 1.6029,                 1.3808,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.4941,                 1.8093,                  1.481,                0.60556,                0.46799,                0.48518,                0.16161,                 2.3215,                 1.6254,                 1.4685,               0.009901,               0.009901,               0.009901
                      7,                 2.5069,                 1.7725,                 1.4812,                0.54339,                0.56291,                0.52022,                0.17846,                 2.1494,                  1.479,                 1.3302,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.4594,                 1.7175,                 1.4584,                0.59245,                0.52097,                0.49435,                0.18497,                 2.2517,                 1.5433,                 1.3747,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.4325,                 1.6732,                 1.4457,                0.63128,                 0.5872,                0.58891,                 0.2049,                 2.2877,                 1.4517,                 1.4063,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.4291,                   1.65,                 1.4367,                0.55412,                0.58983,                0.55551,                0.18803,                 2.1885,                 1.3941,                  1.314,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.4067,                 1.6383,                 1.4366,                 0.6177,                0.61706,                0.60125,                0.21925,                  2.133,                 1.3751,                 1.2868,               0.009802,               0.009802,               0.009802
                     12,                 2.4102,                 1.6315,                  1.431,                0.65484,                0.54967,                0.56973,                0.20919,                 2.1345,                 1.3793,                 1.3104,              0.0097822,              0.0097822,              0.0097822
                     13,                  2.398,                 1.6336,                 1.4188,                 0.7034,                0.55629,                0.61436,                0.22156,                 2.2072,                 1.3764,                  1.353,              0.0097624,              0.0097624,              0.0097624
                     14,                  2.383,                 1.5864,                 1.4112,                0.69521,                0.61933,                  0.633,                0.22093,                 2.1763,                 1.3446,                 1.3463,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.3663,                 1.5639,                 1.4168,                0.69068,                0.57174,                0.62324,                0.23288,                 2.1658,                 1.3584,                 1.3374,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.3771,                 1.5841,                 1.4089,                0.65958,                0.60927,                0.60229,                0.22619,                 2.1359,                 1.3734,                 1.3246,               0.009703,               0.009703,               0.009703
                     17,                 2.3852,                 1.5726,                 1.4119,                0.67181,                0.58499,                0.63514,                0.23911,                 2.1763,                 1.3248,                 1.3453,              0.0096832,              0.0096832,              0.0096832
                     18,                  2.346,                 1.5468,                 1.3974,                0.63466,                0.58278,                0.61969,                 0.2301,                 2.1478,                 1.3735,                 1.3058,              0.0096634,              0.0096634,              0.0096634
                     19,                 2.3311,                 1.5397,                 1.3979,                0.65963,                0.59603,                0.63191,                0.23415,                 2.1572,                 1.3658,                 1.3101,              0.0096436,              0.0096436,              0.0096436
                     20,                  2.323,                 1.5358,                 1.3771,                0.63236,                0.63355,                 0.6104,                0.23174,                 2.1017,                 1.3492,                 1.2795,              0.0096238,              0.0096238,              0.0096238
                     21,                  2.328,                 1.5163,                 1.3938,                0.68777,                0.62728,                 0.6712,                0.24719,                  2.114,                 1.2925,                 1.3041,               0.009604,               0.009604,               0.009604
                     22,                 2.3182,                 1.5014,                 1.3857,                 0.6993,                0.65198,                0.66773,                0.26125,                 2.1278,                 1.2644,                 1.2962,              0.0095842,              0.0095842,              0.0095842
                     23,                 2.3128,                 1.4914,                 1.3845,                0.68754,                0.64901,                0.68566,                0.26858,                 2.1119,                 1.2583,                 1.2722,              0.0095644,              0.0095644,              0.0095644
                     24,                 2.3075,                 1.4994,                 1.3781,                0.76402,                0.66446,                0.71134,                0.25825,                 2.1263,                 1.2772,                 1.3097,              0.0095446,              0.0095446,              0.0095446
                     25,                 2.2879,                 1.4828,                 1.3632,                0.70378,                0.65036,                0.68583,                 0.2532,                 2.1395,                 1.2822,                 1.2952,              0.0095248,              0.0095248,              0.0095248
                     26,                 2.2903,                 1.4822,                 1.3715,                0.67501,                0.66025,                 0.6602,                0.24791,                 2.1538,                 1.3225,                   1.31,               0.009505,               0.009505,               0.009505
                     27,                 2.2736,                  1.463,                  1.359,                 0.7354,                 0.6468,                0.69903,                0.27159,                 2.0678,                 1.2608,                 1.2722,              0.0094852,              0.0094852,              0.0094852
                     28,                 2.2906,                 1.4458,                 1.3644,                0.74025,                0.65784,                0.70411,                0.25801,                 2.1487,                 1.2582,                 1.3064,              0.0094654,              0.0094654,              0.0094654
                     29,                  2.262,                 1.4569,                 1.3508,                0.63767,                0.66047,                0.65502,                0.25163,                 2.0991,                  1.239,                 1.2842,              0.0094456,              0.0094456,              0.0094456
                     30,                 2.2442,                 1.4227,                 1.3494,                0.68018,                0.62912,                 0.6632,                0.25906,                  2.098,                 1.2869,                  1.288,              0.0094258,              0.0094258,              0.0094258
                     31,                 2.2609,                 1.4479,                 1.3531,                0.74165,                0.65274,                0.68447,                 0.2712,                 2.0682,                 1.2883,                 1.2852,               0.009406,               0.009406,               0.009406
                     32,                 2.2571,                 1.4402,                 1.3435,                0.78371,                0.66225,                0.70211,                0.27286,                 2.1095,                  1.258,                 1.3191,              0.0093862,              0.0093862,              0.0093862
                     33,                 2.2365,                 1.4302,                 1.3439,                0.78051,                0.68653,                0.73537,                0.28205,                 2.0852,                 1.2123,                 1.2922,              0.0093664,              0.0093664,              0.0093664
                     34,                  2.255,                 1.4069,                  1.344,                0.76969,                0.68212,                 0.7156,                0.28801,                 2.0941,                 1.1798,                 1.2785,              0.0093466,              0.0093466,              0.0093466
                     35,                 2.2331,                 1.4045,                 1.3305,                0.79096,                0.66225,                0.72862,                0.28853,                 2.0774,                 1.1922,                 1.2661,              0.0093268,              0.0093268,              0.0093268
                     36,                 2.2242,                 1.4042,                 1.3443,                0.76796,                 0.7064,                0.74043,                0.29092,                 2.0964,                 1.1771,                 1.2945,               0.009307,               0.009307,               0.009307
                     37,                 2.2545,                 1.4013,                 1.3425,                0.74533,                0.67838,                0.72533,                0.27267,                 2.0936,                  1.183,                  1.265,              0.0092872,              0.0092872,              0.0092872
                     38,                 2.2056,                 1.3898,                 1.3246,                0.78443,                 0.6755,                0.73407,                0.28672,                  2.088,                 1.1793,                 1.2744,              0.0092674,              0.0092674,              0.0092674
                     39,                 2.2429,                 1.3951,                 1.3346,                0.75593,                0.70422,                0.72523,                0.28236,                 2.0446,                 1.2031,                  1.259,              0.0092476,              0.0092476,              0.0092476
                     40,                 2.2178,                  1.376,                 1.3324,                0.78827,                0.68212,                0.73802,                0.28892,                 2.0604,                 1.1792,                  1.259,              0.0092278,              0.0092278,              0.0092278
                     41,                 2.2139,                 1.3724,                 1.3205,                0.77346,                0.70093,                 0.7376,                0.28268,                  2.094,                 1.1953,                 1.2873,               0.009208,               0.009208,               0.009208
                     42,                 2.2142,                 1.3715,                 1.3196,                0.77896,                0.69536,                0.74875,                0.28972,                 2.1229,                 1.1672,                  1.292,              0.0091882,              0.0091882,              0.0091882
                     43,                 2.2081,                 1.3653,                 1.3226,                0.77342,                0.66887,                0.72036,                0.28424,                 2.1521,                  1.178,                 1.2938,              0.0091684,              0.0091684,              0.0091684
                     44,                 2.2084,                  1.341,                 1.3135,                0.72583,                0.68212,                0.73895,                0.28472,                 2.0633,                 1.2157,                 1.2524,              0.0091486,              0.0091486,              0.0091486
                     45,                 2.1921,                 1.3339,                 1.3147,                0.78718,                0.71744,                0.75833,                0.29057,                 2.0593,                 1.2051,                 1.2667,              0.0091288,              0.0091288,              0.0091288
                     46,                  2.186,                 1.3359,                 1.3028,                 0.7684,                0.68653,                 0.7454,                0.29503,                 2.1073,                 1.1788,                  1.274,               0.009109,               0.009109,               0.009109
                     47,                 2.1838,                 1.3268,                 1.3056,                0.74231,                0.69949,                0.72581,                0.29231,                 2.0858,                 1.1491,                 1.2665,              0.0090892,              0.0090892,              0.0090892
                     48,                 2.1856,                 1.3342,                 1.3071,                0.77369,                0.70187,                0.74964,                 0.2994,                 2.1019,                 1.1458,                 1.2758,              0.0090694,              0.0090694,              0.0090694
                     49,                  2.175,                 1.3186,                 1.3105,                 0.7727,                0.68212,                0.74246,                0.29992,                 2.0955,                 1.1369,                 1.2809,              0.0090496,              0.0090496,              0.0090496
                     50,                 2.1684,                 1.3219,                 1.3019,                0.77794,                0.72848,                0.77538,                 0.3011,                 2.0618,                  1.119,                 1.2752,              0.0090298,              0.0090298,              0.0090298
                     51,                 2.1538,                 1.3086,                 1.2963,                0.78531,                0.70861,                0.76424,                0.29776,                 2.0794,                 1.1322,                 1.2628,                0.00901,                0.00901,                0.00901
                     52,                 2.1561,                 1.3079,                 1.2975,                0.79185,                0.71523,                0.75635,                0.28819,                 2.0796,                 1.1505,                  1.278,              0.0089902,              0.0089902,              0.0089902
                     53,                  2.157,                 1.3102,                 1.2952,                0.80273,                0.72759,                0.77755,                0.29465,                 2.1025,                 1.1062,                  1.286,              0.0089704,              0.0089704,              0.0089704
                     54,                 2.1286,                 1.2798,                 1.2935,                0.76245,                0.73289,                0.74553,                0.28347,                 2.0877,                 1.1444,                 1.2727,              0.0089506,              0.0089506,              0.0089506
                     55,                  2.136,                 1.2856,                 1.2957,                0.77398,                0.71058,                 0.7609,                0.29433,                 2.1009,                 1.1218,                 1.2771,              0.0089308,              0.0089308,              0.0089308
                     56,                 2.1297,                  1.266,                 1.2863,                0.79593,                0.71461,                0.76259,                0.29229,                 2.1321,                 1.1404,                 1.2874,               0.008911,               0.008911,               0.008911
                     57,                 2.1512,                 1.2909,                 1.2928,                0.73921,                0.68212,                 0.7279,                0.27551,                 2.1619,                 1.1288,                 1.3229,              0.0088912,              0.0088912,              0.0088912
                     58,                 2.1255,                  1.266,                 1.2885,                0.79486,                0.70199,                0.76503,                0.29183,                   2.12,                 1.1345,                 1.2855,              0.0088714,              0.0088714,              0.0088714
                     59,                 2.1152,                 1.2633,                 1.2798,                0.78039,                  0.706,                0.76321,                0.29708,                 2.1281,                 1.1194,                 1.2784,              0.0088516,              0.0088516,              0.0088516
                     60,                 2.1259,                  1.262,                 1.2982,                0.79708,                 0.7064,                0.76425,                0.28936,                 2.1444,                 1.1154,                  1.288,              0.0088318,              0.0088318,              0.0088318
                     61,                  2.115,                 1.2534,                 1.2816,                 0.7902,                0.71082,                0.76187,                0.29707,                   2.12,                 1.1062,                 1.2813,               0.008812,               0.008812,               0.008812
                     62,                 2.1143,                 1.2475,                 1.2885,                0.74867,                0.70419,                0.73919,                0.28144,                 2.1766,                 1.1621,                   1.31,              0.0087922,              0.0087922,              0.0087922
                     63,                 2.1169,                 1.2594,                 1.2835,                0.80495,                0.72185,                0.76921,                 0.3097,                 2.0746,                  1.091,                 1.2685,              0.0087724,              0.0087724,              0.0087724
                     64,                 2.0998,                 1.2458,                 1.2749,                0.81677,                0.71523,                0.77325,                0.30578,                 2.0921,                 1.0802,                 1.2759,              0.0087526,              0.0087526,              0.0087526
                     65,                 2.1184,                 1.2527,                 1.2728,                 0.7973,                0.69978,                0.76046,                0.29183,                 2.1299,                 1.1211,                 1.2834,              0.0087328,              0.0087328,              0.0087328
